Metric,Value
design_powergrid__drop__average__net:VPWR__corner:nom_typ_1p20V_25C,1.19965
design_powergrid__drop__worst__net:VPWR__corner:nom_typ_1p20V_25C,0.000636183
design_powergrid__voltage__worst__net:VGND__corner:nom_typ_1p20V_25C,0.000637855
design_powergrid__drop__average__net:VGND__corner:nom_typ_1p20V_25C,0.000354624
design_powergrid__drop__worst__net:VGND__corner:nom_typ_1p20V_25C,0.000637855
design_powergrid__voltage__worst,0.000637855
design_powergrid__voltage__worst__net:VPWR,1.19936
design_powergrid__drop__worst,0.000637855
design_powergrid__drop__worst__net:VPWR,0.000636183
design_powergrid__voltage__worst__net:VGND,0.000637855
design_powergrid__drop__worst__net:VGND,0.000637855
ir__voltage__worst,1.1999999999999999555910790149937383830547332763671875
ir__drop__avg,0.0003550000000000000095583263526322070902097038924694061279296875
ir__drop__worst,0.000635999999999999955126173123431954081752337515354156494140625
magic__drc_error__count,0
magic__illegal_overlap__count,0
design__lvs_device_difference__count,0
design__lvs_net_difference__count,0
design__lvs_property_fail__count,0
design__lvs_error__count,0
design__lvs_unmatched_device__count,0
design__lvs_unmatched_net__count,0
design__lvs_unmatched_pin__count,0
